*	_domainkey	17
*	asuid	13
*	_dmarc	12
*	*	5
*	awverify	4
*	_tcp	2
*	www	2
*	80	1
-backup	nl	1
-domainkey	soverin	1
0	0	7
0	127	3
0	168	2
0	mail	1
0	webclient2	1
0	x	1
00	*	1
00	_acme-challenge	1
000	*	1
0001	*	1
001021	www	1
001025	www	1
001026	www	1
004898	*	1
01	*	5
01	mail	3
01	_acme-challenge	1
01	beta	1
01	data	1
01	demo	1
01	dev	1
01	smtp	1
01	www	1
01-04-2008	_tcp	2
01-04-2008	_tls	2
01-04-2008	autodiscover	1
010	www	1
010nurse	_domainkey	1
013	webmail	1
02	mail	3
02	*	1
02	dev	1
02	www	1
020	www	1
020apartment	_domainkey	3
020apartment	_dmarc	1
026	www	1
0297	_domainkey	1
03	server	1
030	www	1
0303	www	1
038kringloop	www	1
040fit	www	1
058computers	_dmarc	1
070	www	2
071121	www	1
0723	dev	1
08	*	1
0800aanbouw	_domainkey	1
0tot18	_domainkey	1
1	asuid	41
1	_domainkey	11
1	0	9
1	www	7
1	*	5
1	2	4
1	168	2
1	57	2
1	8	2
1	_dmarc	2
1	gateway	2
1	mail	2
1	ownercheck	2
1	1	1
1	244	1
1	58	1
1	59	1
1	6	1
1	7	1
1	94	1
1	aas	1
1	api	1
1	m3	1
1	nl	1
1	panel	1
1	sip	1
1	test	1
1	x	1
10	213	1
10	247	1
10	57	1
10	58	1
10	59	1
10	_domainkey	1
10	www	1
100	134	1
100	14	1
100	51	1
100	56	1
100	57	1
100	58	1
100	59	1
10000	www	1
1001tuinhuisjes	www	1
10032009	www	1
100355	ns1	1
100355	ns2	1
100euro	www	1
100jaar	_domainkey	4
100jaarwvw	www	1
100weeks	api	1
100weeks	appserver	1
101	56	1
101	57	1
101	58	1
101	59	1
101	65	1
101	_domainkey	1
101	www	1
101solutions	_domainkey	1
102	56	1
102	57	1
102	58	1
102	59	1
102	www	1
103	56	1
103	57	1
103	58	1
103	59	1
103	www	1
104	56	1
104	57	1
104	58	1
104	59	1
104	www	1
105	56	1
105	57	1
105	58	1
105	59	1
105	www	1
106	10	1
106	56	1
106	57	1
106	58	1
106	59	1
106	www	1
107	56	1
107	57	1
107	58	1
107	59	1
107	63	1
107	www	1
108	56	1
108	57	1
108	58	1
108	59	1
108	www	1
109	56	1
109	57	1
109	58	1
109	59	1
109	www	1
10juli	www	1
10k	www	1
10toe	www	1
10w	www	1
11	www	2
11	120	1
11	213	1
11	57	1
11	58	1
11	59	1
110	56	1
110	57	1
110	58	1
110	59	1
110	www	1
111	56	1
111	57	1
111	58	1
111	59	1
111	www	1
112	56	1
112	57	1
112	58	1
112	59	1
112	63	1
112	www	1
113	_tcp	2
113	56	1
113	57	1
113	58	1
113	59	1
113	_domainkey	1
113	www	1
114	31	1
114	56	1
114	57	1
114	58	1
114	59	1
114	8	1
114	www	1
115	56	1
115	57	1
115	58	1
115	59	1
115	www	1
116	219	1
116	56	1
116	57	1
116	58	1
116	59	1
116	www	1
117	56	1
117	57	1
117	58	1
117	59	1
117	www	1
118	56	1
118	57	1
118	58	1
118	59	1
118	www	1
119	56	1
119	57	1
119	58	1
119	59	1
119	www	1
11fountains	www	1
11fountains-old	www	1
11september2001	_domainkey	1
12	www	2
12	244	1
12	57	1
12	58	1
12	59	1
12	6	1
120	www	2
120	56	1
120	57	1
120	58	1
120	59	1
1200	nl	1
121	56	1
121	57	1
121	58	1
121	59	1
121	83	1
122	56	1
122	57	1
122	58	1
122	59	1
123	www	4
123	_domainkey	3
123	56	1
123	57	1
123	58	1
123	59	1
123	_acme-challenge	1
123	_dmarc	1
123	asuid	1
123	email	1
123	staging	1
12345test	www	1
123bestdeal	_domainkey	1
123brief	www	1
